from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5945772;5859425;216;15142;69;60;15825;72;65;15825;32;16667;29;16718
5945773;5859425;217;15209;78;66;16276;79;61;16276;35;17793;31;17673
5945774;5859425;223;15592;84;72;18061;85;70;16871;32;16894;28;16589
5945775;5859425;223;15578;87;78;18477;92;76;17296;32;16886;29;16581
5945776;5859425;230;16120;82;71;18343;83;71;18052;34;19373;30;17440
5945777;5859425;230;16120;75;65;18072;80;68;18072;34;19452;30;17539
5945778;5859425;228;15991;77;65;18346;82;68;17453;35;19283;30;17229
5945779;5859425;234;16361;86;71;18908;86;73;18016;35;19407;30;17457
5945780;5859425;234;16389;86;73;19002;91;74;18109;38;19774;33;17824
5945781;5859425;234;16376;87;75;19588;91;76;18695;37;20444;32;18494
5945782;5859425;235;16420;86;75;18298;92;78;18790;37;20349;33;18417
5945783;5859425;237;16619;86;75;18417;96;82;19580;39;20512;34;18579
5945784;5859425;242;16910;90;79;18702;98;87;20679;41;21410;36;19477
5945785;5859425;248;17362;99;92;21911;103;94;24068;41;21324;36;19392
5945786;5859425;246;17237;99;90;21770;102;94;22512;45;21734;39;20263
5945788;5859425;258;18079;100;89;22139;105;90;21246;52;22205;47;20734
5945789;5859425;260;18188;103;91;22248;105;92;21356;54;22475;49;20561
5945790;5859425;264;18509;111;95;22569;110;96;21676;62;26141;56;25840
5945791;5859425;268;18766;115;99;22826;113;100;21933;60;25994;54;25693
5945792;5859425;272;19007;116;102;23067;118;103;22174;57;25786;51;25485
5945794;5859425;284;19857;116;106;22733;123;107;29886;61;29936;55;29994
5945795;5859425;284;19879;115;101;23936;117;103;29687;56;29645;50;29703
5945796;5859425;283;19833;108;97;23636;112;99;29386;52;29366;46;29424
5945797;5859425;285;19925;106;94;23418;110;96;29169;48;25969;42;25668
5945798;5859425;286;20035;96;89;23994;103;95;28720;45;25729;39;25428
5945799;5859425;289;20211;98;89;24017;104;93;28615;46;25850;41;25549
5945800;5859425;292;20472;99;91;28464;103;93;29547;47;27661;41;27360
5945801;5859425;296;20699;99;92;23891;106;95;28691;44;27628;39;27328
5945802;5859425;297;20815;92;83;23528;99;87;23528;42;27015;37;26714
5945803;5859425;299;20941;88;79;23003;98;83;23233;43;26980;37;26680
5945804;5859425;305;21353;95;87;24599;102;89;23643;46;26253;40;25952
5945805;5859425;308;21543;97;89;23931;106;94;26176;42;26161;37;25860
5945806;5859425;308;21536;96;89;25607;101;89;25289;41;25690;36;25389
5945807;5859425;310;21732;92;83;24356;94;84;30060;40;25418;35;25117
5945808;5859425;315;22048;94;84;24429;100;92;31216;39;25277;34;24976
5945809;5859425;321;22442;96;89;24793;103;91;24786;42;25654;37;25353
5945810;5859425;325;22727;99;88;24822;105;91;24822;40;25212;35;24912
5945811;5859425;328;22992;100;91;25021;109;94;31660;43;25416;38;25115
5945812;5859425;331;23156;106;95;26233;108;93;31617;41;25799;36;25498
5945813;5859425;334;23354;108;96;26668;110;96;31827;43;26182;38;25881
5945814;5859425;336;23500;116;106;33225;118;101;32142;45;26742;40;26442
5945815;5859425;338;23632;116;108;33357;119;103;32274;46;26932;41;26632
5945816;5859425;354;24787;113;102;34599;116;97;33517;50;27890;44;27589
5945817;5859425;356;24910;115;103;34659;116;98;33576;48;27742;42;27442
5945818;5859425;360;25175;115;105;29260;116;99;33657;47;27978;41;27677
5945819;5859425;362;25332;112;100;28958;115;100;33684;48;28443;41;28384
5945820;5859425;366;25587;110;98;28778;115;102;29519;47;28447;41;28147
5945821;5859425;367;25690;112;101;29009;115;97;34616;50;28813;44;28512
5945822;5859425;370;25911;112;104;29193;113;95;34515;50;28894;43;28593
5945823;5859425;373;26139;115;104;28865;116;98;34721;49;27053;43;28989
5945824;5859425;375;26251;116;105;35911;116;100;34829;51;29335;44;29018
5945825;5859425;379;26558;116;107;36076;119;102;34993;48;27356;42;27337
5945826;5859425;379;26562;121;112;36289;120;105;35207;47;27161;42;27142
5945827;5859425;385;26920;125;113;36503;127;113;36326;52;27077;46;27058
5945828;5859425;385;26923;127;117;38192;134;125;38192;48;26955;42;26937
5945829;5859425;387;27119;133;120;38406;138;123;36095;48;27203;42;27185
5945830;5859425;391;27398;135;127;38685;142;127;36374;49;27464;43;27445
5945831;5859425;397;27762;145;136;38894;149;132;36738;50;27906;44;27887
5945832;5859425;400;27965;144;131;43159;149;135;36941;49;27444;43;27459
5945833;5859425;404;28262;149;139;38565;151;137;39549;51;27937;46;27952
5945834;5859425;411;28784;158;148;42703;163;146;41334;49;27583;44;27597
5947492;5859425;355;24818;143;132;35496;137;125;34683;44;28816;39;28816
5947493;5859425;350;24514;142;128;35029;137;121;34380;43;28488;39;28488
5947494;5859425;347;24262;140;124;34776;136;117;34127;42;28158;37;28158
5947495;5859425;342;23952;138;120;34466;130;113;33817;41;27872;37;27872
5947496;5859425;339;23700;131;116;34214;124;109;33565;41;27631;37;27631
5947497;5859425;335;23460;131;115;34145;124;108;33495;42;27669;38;27669
5947498;5859425;334;23377;131;116;33898;124;109;33249;43;27456;38;27456
5947499;5859425;330;23117;135;119;33663;128;113;33014;42;27406;38;27406
5947500;5859425;331;23165;136;120;33712;130;113;33063;43;27155;38;27155
5947501;5859425;322;22543;133;116;33089;125;111;32440;44;26297;40;26297
5947502;5859425;320;22368;133;113;32914;124;108;32265;41;25812;36;25812
5947503;5859425;312;21863;124;110;32576;124;110;32399;41;25609;37;25609
5947504;5859425;298;20891;136;118;33138;135;124;33187;36;24378;32;24378
5947505;5859425;294;20614;133;114;32860;131;117;33766;36;24102;32;24102
5947506;5859425;292;20468;124;107;32346;120;105;32346;36;23969;32;23969
5947507;5859425;291;20360;124;107;32376;122;105;32376;37;23838;33;24632
5947508;5859425;290;20286;124;109;32500;128;112;33406;38;23913;34;23913
5947509;5859425;287;20063;124;110;32585;125;106;32664;51;25795;47;25795
5947510;5859425;280;19600;117;88;24774;120;104;33125;52;23880;48;23880
5947511;5859425;280;19594;118;91;24618;125;106;33324;42;24090;38;24090
